Sector_nam,Variable,N_observations,MAE,RMSE,MSE,MAPE_%
1,LST,32,2.3247,2.9383,8.6339,5.91
1,NDVI,32,0.0396,0.0476,0.0023,10.6
1,NDBI,32,0.2502,0.3121,0.0974,96.7
10,LST,32,2.3689,2.9796,8.878,6.17
10,NDVI,32,0.0299,0.0357,0.0013,8.01
10,NDBI,32,0.2447,0.2912,0.0848,107.53
11,LST,32,2.3904,3.0601,9.364,6.06
11,NDVI,32,0.027,0.0326,0.0011,8.05
11,NDBI,32,0.2172,0.2739,0.075,83.09
12,LST,32,2.5313,3.2618,10.6392,6.62
12,NDVI,32,0.0339,0.0402,0.0016,9.79
12,NDBI,32,0.2153,0.2418,0.0585,65.86
14,LST,32,2.4296,3.1256,9.7695,6.52
14,NDVI,32,0.0332,0.0402,0.0016,8.95
14,NDBI,32,0.1965,0.2499,0.0625,76.89
15,LST,32,2.3877,3.0669,9.4056,6.08
15,NDVI,32,0.0205,0.0251,0.0006,7.06
15,NDBI,32,0.1333,0.1879,0.0353,31.67
16,LST,32,2.2773,2.9361,8.6209,5.92
16,NDVI,32,0.025,0.0298,0.0009,6.72
16,NDBI,32,0.2512,0.2839,0.0806,103.96
17,LST,32,2.2535,2.815,7.9245,5.61
17,NDVI,32,0.0187,0.0222,0.0005,6.58
17,NDBI,32,0.339,0.4554,0.2074,72.96
18,LST,32,2.3074,2.8558,8.1556,5.9
18,NDVI,32,0.02,0.0244,0.0006,6.32
18,NDBI,32,0.1613,0.2159,0.0466,60.0
19,LST,32,2.3079,2.8513,8.1297,5.88
19,NDVI,32,0.0214,0.0269,0.0007,6.93
19,NDBI,32,0.2233,0.2833,0.0802,107.13
2,LST,32,2.5901,3.4454,11.8706,7.03
2,NDVI,32,0.0286,0.0337,0.0011,7.83
2,NDBI,32,0.2455,0.2868,0.0823,106.39
20,LST,32,2.3159,2.8586,8.1714,5.84
20,NDVI,32,0.0211,0.0267,0.0007,7.42
20,NDBI,32,0.2159,0.3118,0.0972,72.41
21,LST,32,2.3186,2.863,8.197,5.86
21,NDVI,32,0.0175,0.022,0.0005,6.24
21,NDBI,32,0.13,0.1633,0.0267,32.62
22,LST,32,2.3652,2.9385,8.635,5.91
22,NDVI,32,0.0189,0.0234,0.0005,6.88
22,NDBI,32,0.166,0.2736,0.0748,35.8
23,LST,32,2.3234,2.8556,8.1545,5.97
23,NDVI,32,0.0255,0.0312,0.001,7.42
23,NDBI,32,0.2433,0.2806,0.0787,100.96
24,LST,32,2.4889,3.2,10.2398,6.31
24,NDVI,32,0.0254,0.0318,0.001,7.76
24,NDBI,32,0.294,0.3469,0.1203,119.21
25,LST,32,2.6839,3.5913,12.8973,6.92
25,NDVI,32,0.0275,0.0357,0.0013,9.62
25,NDBI,32,0.3106,0.3826,0.1464,98.06
25W,LST,32,2.7052,3.5378,12.516,7.18
25W,NDVI,32,0.0392,0.0469,0.0022,10.5
25W,NDBI,32,0.3243,0.4873,0.2374,65.5
26,LST,32,2.3148,2.8646,8.206,5.86
26,NDVI,32,0.027,0.0334,0.0011,8.22
26,NDBI,32,0.2132,0.2906,0.0845,76.18
26E,LST,32,2.3947,2.9615,8.7705,5.86
26E,NDVI,32,0.0195,0.0252,0.0006,7.6
