Sector_nam,LST,NDVI,NDBI,UTFVI,TCI,GHI,Population,SC_pct
Manimajra,41.213,0.2859,-0.4144,0.3225,3.8565,,55120.0,0.1831
45,41.123,0.2757,-0.4477,0.3039,1.5537142857142856,2.0,19368.0,0.101
61,41.009,0.3096,-0.605,0.3461,1.4888571428571429,,1376.0,0.2683
34,40.947,0.348,-0.7306,0.263,1.9782857142857142,1.6556,16316.0,0.053
54,40.882,0.3859,-0.5606,0.2463,1.7485714285714289,,3448.0,0.2952
26E,40.878,0.3338,-0.5749,0.3151,1.6320000000000003,,15035.0,0.1939
52,40.876,0.3504,-0.5561,0.2919,1.4888571428571429,,16196.0,0.2683
17,40.799,0.3551,-0.7282,0.2447,1.7785714285714285,3.6053,11323.0,0.066
38W,40.616,0.353,-0.5294,0.1794,0.336,,9433.0,0.137
41,40.548,0.3152,-0.6347,0.3196,1.9217142857142857,,14998.0,0.109
40,40.494,0.33,-0.6228,0.1396,1.129714285714286,6.92,17900.0,0.101
22,40.493,0.3427,-0.817,0.2303,3.281142857142857,,23190.0,0.066
49,40.469,0.3634,-0.633,0.1437,1.0080000000000002,,16420.0,0.1908
48,40.467,0.3704,-0.633,0.0116,1.5505714285714287,,16559.0,0.053
56,40.39,0.3535,-0.4444,0.1851,1.7485714285714289,,7804.0,0.2952
44,40.298,0.3521,-0.6978,0.1813,1.8420000000000003,1.98,18824.0,0.053
46,40.27,0.3605,-0.6781,0.1159,1.1400000000000001,,18437.0,0.142
37,40.22,0.3418,-0.7458,0.2114,2.1514285714285712,,20277.0,0.137
63,40.216,0.2929,-0.5356,0.2723,1.1622857142857144,,4633.0,0.1908
32,40.206,0.3458,-0.7667,0.2084,1.710857142857143,,18032.0,0.142
38,40.188,0.34,-0.6702,0.2614,1.5720000000000003,,19446.0,0.137
43,40.137,0.396,-0.5236,0.0852,1.7725714285714287,,16177.0,0.268
35,40.128,0.3433,-0.7671,0.2663,2.2622857142857145,,22887.0,0.053
50,40.125,0.3972,-0.565,0.1054,1.1622857142857144,,10975.0,0.1908
47,40.121,0.3866,-0.7376,0.235,1.188857142857143,1.3472,16986.0,0.053
15,40.12,0.3439,-0.7328,0.1041,1.5325714285714287,,22549.0,0.105
21,40.066,0.3335,-0.7642,0.1476,2.2654285714285716,1.5443,20785.0,0.048
51,40.058,0.3966,-0.6587,0.0715,1.596857142857143,,12974.0,0.1908
20,40.057,0.3624,-0.6945,0.1589,2.508,2.5554,20207.0,0.108
33,40.033,0.3652,-0.7455,0.1322,2.326285714285714,,20967.0,0.108
25,40.012,0.3689,-0.5259,0.0797,1.1622857142857144,1.8187,13442.0,0.438
53,39.989,0.442,-0.478,0.0322,1.6560000000000004,,3283.0,0.2952
55,39.982,0.4392,-0.3416,0.0535,1.794857142857143,,5179.0,0.2952
11,39.837,0.3935,-0.5888,-0.043,1.3714285714285717,3.1493,17745.0,0.07
31,39.799,0.4328,-0.2647,-0.0959,1.8214285714285714,,14236.0,0.053
27,39.786,0.3752,-0.6669,-0.1273,1.2240000000000002,,20296.0,0.134
28,39.721,0.3952,-0.461,-0.0567,1.9825714285714287,1.7699,18618.0,0.134
19,39.709,0.3812,-0.5472,-0.2445,1.5942857142857145,6.66669999999999,20367.0,0.048
29,39.599,0.4093,-0.4658,-0.4273,1.812857142857143,1.1547,15288.0,0.241
18,39.597,0.3694,-0.7449,-0.2472,2.493428571428571,,20370.0,0.048
26,39.596,0.3941,-0.688,-0.4319,1.2840000000000003,,14832.0,0.194
Khuda Alisher,39.586,0.2371,-0.0347,-0.0115,0.2458,,2409.0,0.2583
39,39.474,0.411,-0.5046,-0.2104,0.9240000000000003,,14013.0,0.101
12,39.471,0.4021,-0.6037,-0.1717,0.9539999999999998,,22730.0,0.105
24,39.465,0.4165,-0.4025,-0.5133,1.3782857142857146,1.95409999999999,15693.0,0.175
Rajindra Park,39.446,0.4417,-0.4011,-0.0264,0.2367,,4467.0,0.0
8,39.425,0.3703,-0.6391,-0.1574,1.4820000000000004,,20724.0,0.07
42,39.419,0.4104,-0.3287,-0.3675,1.5154285714285716,2.62579999999999,16667.0,0.109
23,39.322,0.4205,-0.2532,-0.3273,3.246857142857143,2.0535,17926.0,0.175
7,39.187,0.4092,-0.2528,-0.1889,1.344,2.9943,18749.0,0.07
1,39.143,0.4344,-0.4667,-0.0828,0.3412,,6775.0,0.07
30,39.106,0.417,-0.3902,-0.3488,1.4554285714285715,1.0,15748.0,0.134
10,39.079,0.4358,-0.5143,-0.2946,1.3585714285714288,,16005.0,0.07
2,39.008,0.4228,-0.533,-0.2836,0.7234285714285715,10.0,4879.0,0.07
3,38.855,0.4555,-0.3775,-0.2281,0.8588571428571431,5.0,4543.0,0.07
36,38.851,0.4276,-0.2017,-0.2617,1.741714285714286,2.19879999999999,16810.0,0.175
9,38.822,0.418,-0.2718,-0.2635,1.9474285714285717,,19846.0,0.07
16,38.761,0.4314,-0.2598,-0.3245,1.519714285714286,2.0,17176.0,0.066
25W,38.679,0.4817,-0.2577,-0.3846,0.9822857142857144,,4310.0,0.438
14,38.362,0.4588,-0.1884,-0.3825,1.2394285714285715,,24819.0,0.105
4,37.878,0.4693,-0.2114,-0.5,1.1742857142857144,5.16389999999999,5396.0,0.07
5,37.762,0.4556,-0.1318,-0.5283,1.4600000000000004,9.1,5771.0,0.07
6,36.19,0.5379,-0.1641,-0.5648,0.7748571428571429,,3300.0,0.07
