Sector_nam,Year,LST_observed,LST_forecast,LST_lower,LST_upper,NDVI_observed,NDVI_forecast,NDBI_observed,NDBI_forecast,is_forecast,CityMean_forecast,UTFVI_forecast
1,1990,36.942047,37.3358,33.2089,40.9689,0.317579,0.2639,-0.233558,-0.2301,False,37.774491228070175,-0.0116
1,1991,42.874636,37.3977,33.4746,41.3334,0.284801,0.2696,0.362033,-0.2383,False,37.84222807017544,-0.0117
1,1992,33.913245,37.4598,33.8829,41.3795,0.258374,0.2753,-0.144801,-0.2465,False,37.91007368421053,-0.0119
1,1993,37.277381,37.5217,33.6382,41.6333,0.280625,0.2809,0.110623,-0.2546,False,37.97773859649123,-0.012
1,1994,43.998327,37.5836,33.8813,41.6752,0.224254,0.2866,0.35156,-0.2628,False,38.04538771929825,-0.0121
1,1996,34.894634,37.7076,33.8723,41.684,0.339639,0.298,-0.485241,-0.2792,False,38.18088947368421,-0.0124
1,1998,36.271295,37.8314,33.8594,41.9595,0.348279,0.3093,-0.533758,-0.2956,False,38.316191228070174,-0.0127
1,1999,37.787935,37.8933,34.2163,41.8671,0.267385,0.315,-0.210395,-0.3037,False,38.383849122807014,-0.0128
1,2000,35.838367,37.9554,33.9977,41.6921,0.318603,0.3207,-0.524001,-0.3119,False,38.45168245614035,-0.0129
1,2002,34.940948,38.0792,33.8912,41.8511,0.313884,0.332,-0.266659,-0.3282,False,38.58698947368421,-0.0132
1,2004,38.589251,38.2032,34.1388,41.9024,0.309362,0.3434,-0.23536,-0.3445,False,38.722482456140355,-0.0134
1,2005,35.106052,38.2651,34.2361,41.9967,0.317273,0.3491,-0.521015,-0.3527,False,38.790140350877195,-0.0135
1,2006,34.927335,38.327,34.4775,42.3159,0.355271,0.3547,-0.65772,-0.3608,False,38.857787719298244,-0.0137
1,2007,39.893843,38.3889,34.4738,42.3836,0.43459,0.3604,-0.999173,-0.369,False,38.92544210526316,-0.0138
1,2008,36.804105,38.451,34.7343,42.2662,0.348474,0.3661,-0.121162,-0.3772,False,38.99327543859649,-0.0139
1,2009,44.628867,38.5129,34.804,42.3573,0.328535,0.3718,-0.307285,-0.3853,False,39.060917543859645,-0.014
1,2010,43.907512,38.5748,34.6299,42.4522,0.339896,0.3775,-0.462873,-0.3935,False,39.12855789473684,-0.0142
1,2011,38.487205,38.6367,34.7435,42.537,0.360652,0.3831,-0.591747,-0.4016,False,39.196159649122805,-0.0143
1,2013,39.45056,38.7607,34.9771,42.6389,0.446327,0.3945,-0.901238,-0.418,False,39.33136666666667,-0.0145
1,2014,37.760582,38.8226,34.7506,42.5826,0.490135,0.4002,-0.125278,-0.4261,False,39.39886315789474,-0.0146
1,2015,39.702022,38.8845,35.0372,42.8911,0.426239,0.4059,-0.939947,-0.4343,False,39.46634385964912,-0.0147
1,2016,39.108815,38.9466,34.936,42.9109,0.380616,0.4115,-0.55232,-0.4424,False,39.53400175438596,-0.0149
1,2017,41.241474,39.0085,35.2482,42.9949,0.357112,0.4172,-0.467659,-0.4506,False,39.6014596491228,-0.015
1,2018,39.01845,39.0704,35.1663,42.8767,0.423134,0.4229,-0.938527,-0.4588,False,39.668924561403514,-0.0151
1,2019,43.392483,39.1324,35.5397,42.8793,0.484068,0.4286,-0.106732,-0.4669,False,39.73637368421053,-0.0152
1,2020,37.701102,39.1944,35.1683,42.8839,0.538698,0.4343,-0.139619,-0.4751,False,39.804012280701755,-0.0153
1,2021,35.812655,39.2563,35.6885,43.2098,0.402236,0.4399,-0.439512,-0.4832,False,39.87146666666667,-0.0154
1,2022,36.640647,39.3182,35.548,43.308,0.425361,0.4456,-0.110786,-0.4914,False,39.93892456140351,-0.0155
1,2023,36.740033,39.3802,35.6112,43.3818,0.516563,0.4513,-0.127826,-0.4995,False,40.006378947368425,-0.0157
1,2024,38.504503,39.4422,35.7429,43.1745,0.436702,0.457,-0.807583,-0.5077,False,40.07401228070175,-0.0158
1,2025,42.712293,39.5041,35.5488,43.2941,0.387173,0.4626,-0.503166,-0.5159,False,40.141466666666666,-0.0159
1,2026,,39.5661,35.5723,43.5789,,0.4683,,-0.524,True,40.20892105263158,-0.016
1,2027,,39.628,35.7858,43.6606,,0.474,,-0.5322,True,40.27637192982456,-0.0161
10,1990,36.950744,36.7798,33.2644,40.7339,0.344101,0.2909,-0.424681,-0.2921,False,37.774491228070175,-0.0263
10,1991,42.037404,36.8595,32.9147,40.6494,0.307579,0.2955,-0.132936,-0.3022,False,37.84222807017544,-0.026
10,1992,33.484757,36.9394,33.2229,40.9583,0.282122,0.3001,-0.305946,-0.3122,False,37.91007368421053,-0.0256
10,1993,35.903615,37.019,33.1727,41.0184,0.304631,0.3047,-0.257707,-0.3223,False,37.97773859649123,-0.0252
10,1994,43.692021,37.0986,33.2905,40.6962,0.27785,0.3093,-0.13272,-0.3323,False,38.04538771929825,-0.0249
10,1996,34.184892,37.258,33.3793,41.1129,0.355695,0.3185,-0.590258,-0.3524,False,38.18088947368421,-0.0242
10,1998,36.148351,37.4172,33.4837,41.1589,0.342531,0.3277,-0.507056,-0.3724,False,38.316191228070174,-0.0235
10,1999,37.558964,37.4967,33.4867,41.4189,0.269275,0.3323,-0.244302,-0.3825,False,38.383849122807014,-0.0231
10,2000,36.373583,37.5766,33.5494,41.2871,0.325059,0.3369,-0.171656,-0.3925,False,38.45168245614035,-0.0228
10,2002,34.245586,37.7357,33.5966,41.5945,0.329507,0.3462,-0.471127,-0.4126,False,38.58698947368421,-0.0221
10,2004,37.37304,37.8951,33.863,41.8677,0.340682,0.3554,-0.518973,-0.4327,False,38.722482456140355,-0.0214
10,2005,33.40579,37.9747,33.9836,41.7911,0.308539,0.3601,-0.649658,-0.4427,False,38.790140350877195,-0.021
10,2006,33.986771,38.0543,34.2554,41.8259,0.378621,0.3647,-0.952256,-0.4527,False,38.857787719298244,-0.0207
10,2007,39.020106,38.1339,34.3894,41.9424,0.404994,0.3693,-0.834257,-0.4627,False,38.92544210526316,-0.0203
10,2008,36.507856,38.2137,34.5148,42.2651,0.371707,0.374,-0.512154,-0.4728,False,38.99327543859649,-0.02
10,2009,44.143962,38.2933,34.1375,42.2731,0.336055,0.3786,-0.476918,-0.4823,False,39.060917543859645,-0.0197
10,2010,42.915473,38.3729,34.8927,42.1159,0.358783,0.3833,-0.714352,-0.4919,False,39.12855789473684,-0.0193
10,2011,38.842642,38.4525,34.4774,42.4047,0.341249,0.3879,-0.455847,-0.5014,False,39.196159649122805,-0.019
10,2013,39.521586,38.6119,34.7286,42.3293,0.431694,0.3972,-0.943233,-0.5205,False,39.33136666666667,-0.0183
10,2014,37.282859,38.6915,34.9767,42.4969,0.45105,0.4018,-0.105301,-0.53,False,39.39886315789474,-0.018
10,2015,40.442653,38.7711,34.9488,42.4061,0.424375,0.4064,-0.959085,-0.5395,False,39.46634385964912,-0.0176
10,2016,39.00695,38.8509,35.1906,42.5663,0.397815,0.4111,-0.819155,-0.5491,False,39.53400175438596,-0.0173
10,2017,40.741652,38.9304,35.2758,42.8304,0.37119,0.4157,-0.644591,-0.5586,False,39.6014596491228,-0.0169
10,2018,39.582835,39.01,35.0294,42.7947,0.429083,0.4204,-0.114433,-0.5681,False,39.668924561403514,-0.0166
10,2019,43.581512,39.0896,35.222,43.0681,0.462921,0.425,-0.10251,-0.5776,False,39.73637368421053,-0.0163
10,2020,38.326915,39.1694,35.3971,42.8766,0.512854,0.4296,-0.13533,-0.5872,False,39.804012280701755,-0.0159
10,2021,34.27558,39.249,35.1371,43.2231,0.423646,0.4343,-0.841335,-0.5967,False,39.87146666666667,-0.0156
10,2022,36.886638,39.3286,35.2705,43.0714,0.417367,0.4389,-0.111687,-0.6062,False,39.93892456140351,-0.0153
10,2023,36.844407,39.4082,35.6023,43.14,0.502161,0.4435,-0.135294,-0.6158,False,40.006378947368425,-0.015
10,2024,38.297432,39.488,35.5078,43.3101,0.438067,0.4482,-0.927255,-0.6253,False,40.07401228070175,-0.0146
10,2025,41.880592,39.5676,35.719,43.3588,0.414705,0.4528,-0.867148,-0.6348,False,40.141466666666666,-0.0143
10,2026,,39.6472,35.6302,43.377,,0.4575,,-0.6444,True,40.20892105263158,-0.014
10,2027,,39.7268,35.8584,43.6672,,0.4621,,-0.6539,True,40.27637192982456,-0.0136
11,1990,37.432655,37.3251,33.1988,41.4977,0.323059,0.2643,-0.344302,-0.239,False,37.774491228070175,-0.0119
11,1991,42.88356,37.4067,33.2806,41.5506,0.281041,0.2684,0.478178,-0.2502,False,37.84222807017544,-0.0115
11,1992,33.659728,37.4884,33.5717,41.1914,0.264384,0.2724,-0.219914,-0.2614,False,37.91007368421053,-0.0111
11,1993,36.640635,37.57,33.6089,41.5012,0.286851,0.2765,-0.157052,-0.2725,False,37.97773859649123,-0.0107
11,1994,45.10087,37.6515,33.5583,41.6018,0.245071,0.2805,0.124259,-0.2837,False,38.04538771929825,-0.0104
11,1996,33.9453,37.8148,33.7532,41.6488,0.306234,0.2887,-0.369111,-0.306,False,38.18088947368421,-0.0096
